City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,Touros,BR,88.7,clear sky,-5.1989,-35.4608,INN NEW HORIZON
49,Vila Velha,BR,85.95,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
53,Aquiraz,BR,91.22,scattered clouds,-3.9014,-38.3911,Pousada Rua Camurupim
87,Santa Maria,BR,94.37,scattered clouds,-29.6842,-53.8069,Hotel Morotin
88,Acajutla,SV,86.47,few clouds,13.5928,-89.8275,asi es
102,Dzilam Gonzalez,MX,88.0,few clouds,21.2833,-88.9333,posadas
112,Salinopolis,BR,85.57,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
144,Borba,BR,87.67,overcast clouds,-4.3878,-59.5939,Hotel da Amazônia
160,Sardinata,CO,85.68,overcast clouds,8.0829,-72.8007,Hotel El Turpial
178,Maldonado,UY,87.19,scattered clouds,-34.6667,-54.9167,La Cimarrona
187,Arraial Do Cabo,BR,87.76,clear sky,-22.9661,-42.0278,Pousada Porto Praia
241,Sao Joao Da Barra,BR,86.09,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
339,Tucuman,AR,93.2,scattered clouds,-26.8241,-65.2226,Dallas Hotel Tucuman
341,Acapulco,MX,87.62,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
343,Porto Novo,BJ,85.82,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
344,Botro,CI,86.07,broken clouds,7.8525,-5.3106,Motel de la Station BOTRO
346,Gibara,CU,88.92,clear sky,21.1097,-76.1317,Sol y Mar
354,Nisia Floresta,BR,88.61,scattered clouds,-6.0911,-35.2086,Rancho Crepusculo
362,Palmas Bellas,PA,88.34,few clouds,9.2319,-80.0867,Estación de Chagres
385,Nouakchott,MR,89.53,broken clouds,18.0858,-15.9785,HOTEL IMAN
395,Puerto Narino,CO,89.55,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
397,San Carlos Del Zulia,VE,89.89,broken clouds,9.0,-71.9135,Hotel El Manantial
399,Trairi,BR,87.6,scattered clouds,-3.2778,-39.2689,janelas do mar
411,Itarema,BR,87.21,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
413,Oranjestad,AW,85.95,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
415,Karratha,AU,90.09,clear sky,-20.7377,116.8463,ibis Styles Karratha
444,Natal,BR,88.45,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
452,Champerico,GT,91.94,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
456,Puerto El Triunfo,SV,92.26,clear sky,13.2833,-88.55,Hotel Jardin
458,Itaituba,BR,91.56,scattered clouds,-4.2761,-55.9836,Hotel Campos
459,Cururupu,BR,88.66,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
492,Arenal,CO,91.38,broken clouds,8.4593,-73.9433,Hotel Azteca
513,Intipuca,SV,91.29,clear sky,13.1969,-88.0544,Tropiclub Playa El Cuco
539,Pochutla,MX,93.02,clear sky,15.7432,-96.4661,Hotel Posada San Jose
550,Segou,ML,86.04,overcast clouds,13.4317,-6.2157,Comme chez soi
556,Lethem,GY,88.25,light rain,3.3803,-59.7968,Savannah Inn
558,Maceio,BR,89.04,scattered clouds,-9.6658,-35.7353,Poutur Pousada
597,Venice,US,85.26,clear sky,27.0998,-82.4543,A Beach Retreat On Casey Key
599,Sagua La Grande,CU,85.19,few clouds,22.8067,-80.0756,Hotel Telégrafo
629,Puerto Carreno,CO,89.58,scattered clouds,6.189,-67.4859,Casa Hotel Victoria
662,West Bay,KY,85.06,few clouds,19.3667,-81.4167,Calypso Cove
668,Seminole,US,86.43,scattered clouds,28.7086,-81.2081,Ono Hot Dog Cart and Catering
